frame,timestamp,left_vehicle,right_vehicle,left_distance,right_distance,slope_diff,left_slope,right_slope,road,decision
120,2025-06-23 10:50:16,none,none,-1,-1,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:50:17,none,none,-1,-1,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:50:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:50:18,none,none,-1,-1,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:50:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:50:19,none,none,-1,-1,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:50:20,car,car,20.27,20.27,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:50:21,car,car,12.5,12.5,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:50:21,car,car,6.3,6.3,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:50:22,car,car,35.71,35.71,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:50:23,car,car,34.09,34.09,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:53:00,2,0,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:53:01,0,0,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:53:02,0,0,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:53:02,0,0,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:53:03,0,0,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:53:04,0,0,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:53:04,0,2,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:53:05,0,3,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:53:06,0,0,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:53:06,1,0,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:53:07,1,0,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:53:08,5,0,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:53:08,2,0,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:53:09,1,0,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:53:44,2,2,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:53:44,0,0,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:53:45,0,0,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:53:46,0,0,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:53:46,0,0,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:53:47,0,0,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:53:48,0,0,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:53:48,0,0,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:53:49,0,0,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:53:50,1,1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:53:51,1,1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:53:51,5,5,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:53:52,2,2,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:53:52,1,1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:54:07,2,2,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:54:08,0,0,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:54:09,0,0,20,320,300,wet,BOTH GREEN
120,2025-06-23 10:54:09,0,0,20,320,300,wet,BOTH GREEN
150,2025-06-23 10:54:10,0,0,20,320,300,wet,BOTH GREEN
180,2025-06-23 10:54:11,0,0,20,320,300,wet,BOTH GREEN
210,2025-06-23 10:54:11,0,0,20,320,300,wet,BOTH GREEN
240,2025-06-23 10:54:12,0,0,20,320,300,wet,BOTH GREEN
270,2025-06-23 10:54:13,0,0,20,320,300,wet,BOTH GREEN
300,2025-06-23 10:54:13,1,1,20,320,300,wet,BOTH GREEN
330,2025-06-23 10:54:14,1,1,20,320,300,wet,BOTH GREEN
360,2025-06-23 10:54:15,5,5,20,320,300,wet,BOTH GREEN
390,2025-06-23 10:54:15,2,2,20,320,300,wet,BOTH GREEN
420,2025-06-23 10:54:16,1,1,20,320,300,wet,BOTH GREEN
30,2025-06-23 10:56:01,truck,none,6.47,-1,20,320,300,wet,BOTH GREEN
60,2025-06-23 10:56:01,none,none,-1,-1,20,320,300,wet,BOTH GREEN
90,2025-06-23 10:56:02,none,none,-1,-1,20,320,300,wet,BOTH GREEN
